model,seed,history_k,relations,feature_group,validation_pr_auc,test_pr_auc,test_roc_auc,ap_lift_vs_random,precision_at_1pct,recall_at_1pct,brier,ece_10,ci_low,ci_high,train_seconds,graph_build_seconds,edges,training_epochs,delta_low,delta_high,p_b_gt_a
graphsage,42,10.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",,0.09806027434728942,0.04205537568350351,0.6219964621486981,2.205701521862072,0.09333333333333334,0.04895104895104895,0.15922055211382605,0.3426939111143351,0.030515323057106573,0.060389377208300316,,2.660591799998656,1687356.0,20.0,,,
graphsage,42,3.0,card1,,0.08501623251172592,0.03694632518621843,0.62540599267526,1.9377443279485191,0.04,0.02097902097902098,0.18771748096875343,0.3783450274129708,0.02804174238774116,0.05236309328816241,,0.2603184999898076,125472.0,20.0,,,
graphsage,42,3.0,"addr1,DeviceInfo,P_emaildomain,ProductCD",,0.0711416993411218,0.040861108773013056,0.6184643139923824,2.1430651454377476,0.08,0.04195804195804196,0.16682883484453986,0.3544868430147568,0.029021287764688826,0.06222743409583316,,0.7976214999798685,405499.0,20.0,,,
graphsage,42,3.0,addr1,,0.05747478246056784,0.035334872406053264,0.6011961397308685,1.8532275737440524,0.05333333333333334,0.027972027972027972,0.17673707934698052,0.3908504065493743,0.026894746280889354,0.05162565378308294,,0.27702099992893636,141032.0,12.0,,,
graphsage,42,3.0,"card1,DeviceInfo,P_emaildomain,ProductCD",,0.08337516925900282,0.04162289949226871,0.6272233950635473,2.1830192041399674,0.10666666666666667,0.055944055944055944,0.15755533326928425,0.3424593921254079,0.029673971273530754,0.06300801014205562,,0.7782795000821352,397056.0,20.0,,,
graphsage,42,3.0,DeviceInfo,,0.07659664610184509,0.035252104636736344,0.6426751174610357,1.8488866068218364,0.02666666666666667,0.013986013986013986,0.18451685397806655,0.3830806229968866,0.026875654805235936,0.04963587592881855,,0.34367989981547,40472.0,20.0,,,
graphsage,42,3.0,"card1,addr1,P_emaildomain,ProductCD",,0.08015277806853702,0.03983930274336416,0.6203720161855271,2.0894739201065122,0.06666666666666667,0.03496503496503497,0.16281351780561248,0.34485279611249764,0.028778982568217717,0.06117550552001676,,0.9910687999799848,490998.0,20.0,,,
graphsage,42,3.0,P_emaildomain,,0.05216537560395128,0.028624965492073183,0.5898915546869876,1.5013093789548873,0.02666666666666667,0.013986013986013986,0.18507626889131937,0.3735611989135544,0.022079505580273107,0.03871038696218718,,0.20263039995916188,122695.0,20.0,,,
graphsage,42,3.0,"card1,addr1,DeviceInfo,ProductCD",,0.1052919076974414,0.04480673552207956,0.6289153282492959,2.350003611297879,0.09333333333333334,0.04895104895104895,0.16690860639037564,0.35221004233658315,0.03217610888139347,0.0698015239953579,,0.8152668999973685,428024.0,20.0,,,
graphsage,42,3.0,ProductCD,,0.07590985786915166,0.04537341147594483,0.6297679485120018,2.3797243781089947,0.06666666666666667,0.03496503496503497,0.1537339134019053,0.33675855357994633,0.0321867849798513,0.07081383030003865,,0.24027110007591546,149970.0,20.0,,,
graphsage,42,3.0,"card1,addr1,DeviceInfo,P_emaildomain",,0.060693410714088694,0.03316981896250955,0.5968764822237704,1.7396758197120392,0.02666666666666667,0.013986013986013986,0.1952748009919849,0.4149873823841413,0.02501667057703331,0.04726968702391019,,0.7921833998989314,408366.0,12.0,,,
logistic_regression,123,,,,0.09157855529272607,0.05524595352816903,0.66067804697681,2.8975150451836904,0.12,0.06293706293706294,0.21359836772706967,0.4055340458358328,0.0357496262096495,0.09362193098536717,0.05508749978616834,,,,,,
hist_gradient_boosting,123,,,,0.11793715718166038,0.03671901266840418,0.6573255479059475,1.925822342748471,0.05333333333333334,0.027972027972027972,0.019459570413334838,0.009792831298683337,0.02811577571959471,0.05292373884448674,1.831955200061202,,,,,,
xgboost,123,,,,0.13455175409357178,0.03619914619861203,0.5732022497008225,1.8985566188083234,0.10666666666666667,0.055944055944055944,0.027203071652094287,0.04459942029792001,0.024618567794166824,0.058454778471583146,2.9913786000106484,,,,,,
feature_mlp,123,,,,0.04542568401066885,0.024629526868980716,0.5795850201178461,1.2917584022192683,0.013333333333333334,0.006993006993006993,0.23682189521772717,0.4527808765133222,0.01918739560632547,0.03179267785784629,,,176433.0,20.0,,,
graphsage,123,3.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",,0.10168354376948104,0.05723754538807192,0.649957559091717,3.001969163710066,0.12,0.06293706293706294,0.15792842935903578,0.3425786369855205,0.0363188795546058,0.0930993019514586,,0.9896185998804867,519889.0,20.0,,,
paired_delta_graphsage_minus_xgboost,123,,,,,0.02103839918945989,,,,,,,,,,,,,0.00034032542798911034,0.04949882709784382,0.978
logistic_regression,456,,,,0.09157855529272607,0.05524595352816903,0.66067804697681,2.8975150451836904,0.12,0.06293706293706294,0.21359836772706967,0.4055340458358328,0.03655198919948957,0.09125217753511544,0.051243099849671125,,,,,,
hist_gradient_boosting,456,,,,0.12157352836528426,0.038781282663571955,0.6829222157480959,2.0339833564810466,0.05333333333333334,0.027972027972027972,0.019956501519438133,0.00893915839210923,0.02973137432696017,0.05161502874596048,1.1001645000651479,,,,,,
xgboost,456,,,,0.1413770746185601,0.032702255828492094,0.5917203633664148,1.7151532777181169,0.04,0.02097902097902098,0.025154243860403873,0.039286005181441826,0.025377047250651284,0.0463551611631702,2.966732000000775,,,,,,
feature_mlp,456,,,,0.04990173130483476,0.031789687103541096,0.578497620362511,1.6672912816542533,0.09333333333333334,0.04895104895104895,0.21760640454658078,0.4449008150378863,0.024104146200274113,0.044752009233510116,,,176433.0,11.0,,,
graphsage,456,3.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",,0.09428820825311585,0.05703865208399181,0.6741650357254544,2.9915376967128573,0.12,0.06293706293706294,0.1829497236022186,0.3729167020668587,0.038332114839767326,0.08810058344678309,,0.9978157000150532,519889.0,20.0,,,
paired_delta_graphsage_minus_xgboost,456,,,,,0.024336396255499715,,,,,,,,,,,,,0.005605152408854302,0.05121215457060282,1.0
