model,seed,history_k,relations,validation_pr_auc,test_pr_auc,test_roc_auc,ap_lift_vs_random,precision_at_1pct,recall_at_1pct,brier,ci_low,ci_high,edges
xgboost,42,,,0.05722740921855494,0.058434699074677285,0.613972602739726,2.191301215300398,0.25,0.1,0.02633165861833289,0.021877830207607103,0.1724103123079781,
feature_mlp,42,,,0.14767643683559287,0.037054617907292184,0.5343835616438356,1.3895481715234568,0.0,0.0,0.24497439536983207,0.019932756702690544,0.07383009934445768,
graphsage,42,3.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",0.08284956964963243,0.031267884900416966,0.5282191780821918,1.172545683765636,0.0,0.0,0.24575194654966973,0.017131153187076194,0.05569818518071366,45978.0
paired_delta_graphsage_minus_xgboost,42,,,,-0.02716681417426032,,,,,,-0.13637492677107993,0.00878374711952459,
