model,seed,history_k,relations,validation_pr_auc,test_pr_auc,test_roc_auc,ap_lift_vs_random,precision_at_1pct,recall_at_1pct,brier,ci_low,ci_high,edges
xgboost,42,,,0.02658693384469,0.036206428141534595,0.5313717492510444,1.1083600451490183,0.06666666666666667,0.02040816326530612,0.03279526159656957,0.02505676603594831,0.06370294689377329,
feature_mlp,42,,,0.04169931493989983,0.05755584923856053,0.6889689025162098,1.7619137522008328,0.0,0.0,0.26651180721603257,0.03908588738101198,0.0816455966474354,
graphsage,42,3.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",0.14545225653935587,0.08064879540648219,0.6486307824301326,2.4688406757086385,0.13333333333333333,0.04081632653061224,0.25362694948243864,0.044395637119217346,0.15935304449881546,95369.0
