model,seed,history_k,relations,validation_pr_auc,test_pr_auc,test_roc_auc,ap_lift_vs_random,precision_at_1pct,recall_at_1pct,brier,ci_low,ci_high,edges
xgboost,42,,,0.02658693384469,0.036206428141534595,0.5313717492510444,1.1083600451490183,0.06666666666666667,0.02040816326530612,0.03279526159656957,0.02505676603594831,0.06370294689377329,
feature_mlp,42,,,0.032990328507886885,0.05113424569040194,0.6395167301931111,1.5653340517469982,0.0,0.0,0.2653676103611979,0.03466432254198295,0.07522046929462997,
graphsage,42,3.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",0.11841726575980505,0.06761069121171792,0.6087708687885905,2.069715037093406,0.13333333333333333,0.04081632653061224,0.25346221770387806,0.037725833319845484,0.13402867131154364,95369.0
graphsage,42,1.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",0.08604958567121726,0.08051801338780483,0.611443198919816,2.4648371445246378,0.2,0.061224489795918366,0.2553893251502332,0.03688245532038112,0.155032796009381,32712.0
graphsage,42,5.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",0.10992692330074466,0.06807376154543601,0.6217668321636028,2.083890659554164,0.13333333333333333,0.04081632653061224,0.2555671050773287,0.03732852442796457,0.13308703645386155,156158.0
graphsage,42,10.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",0.11174192523479415,0.09846453613900465,0.6255784188244561,3.014220494051163,0.13333333333333333,0.04081632653061224,0.2541439872137998,0.040298922486460796,0.16918883491407238,302263.0
graphsage,42,3.0,"addr1,DeviceInfo,P_emaildomain,ProductCD",0.12167901191625338,0.05030229529191689,0.5851207471272452,1.5398661824056192,0.13333333333333333,0.04081632653061224,0.2571659133929648,0.030467236125602697,0.09253472160508835,76605.0
graphsage,42,3.0,"card1,DeviceInfo,P_emaildomain,ProductCD",0.07694797164445999,0.05577631625965719,0.6071112111281453,1.707438252846649,0.06666666666666667,0.02040816326530612,0.25605497430235385,0.03500990860680743,0.09808980947241952,71594.0
graphsage,42,3.0,"card1,addr1,P_emaildomain,ProductCD",0.09647535904995656,0.06835982403057012,0.5959999437404183,2.092647674405208,0.13333333333333333,0.04081632653061224,0.25264958036123053,0.035383485534365065,0.14491643194839493,91998.0
graphsage,42,3.0,"card1,addr1,DeviceInfo,ProductCD",0.08784359882502711,0.07641569346261638,0.6353113264602878,2.3392559223249916,0.2,0.061224489795918366,0.2534463256323811,0.04256673279313209,0.14824166288949567,78098.0
graphsage,42,3.0,"card1,addr1,DeviceInfo,P_emaildomain",0.1417114466896299,0.0710972102101966,0.5844667294898662,2.176445210516223,0.2,0.061224489795918366,0.25575772520248663,0.03583266709792796,0.15092582309296831,72812.0
