model,mean_test_pr_auc,std_test_pr_auc,mean_ap_lift
feature_mlp,0.04732804602022482,0.017254662638297287,1.9799354883095917
graphsage,0.04455769853473988,0.015429298759012625,1.7889443840591366
xgboost,0.06427445061116632,0.028091346311294237,2.5475309513146276
